Term	fdr	es	nes
regulation of epithelial cell proliferation (GO:0050678)	0.015279905747427582	0.518374891559267	1.9500454928584214
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	0.015824635080101887	-0.5630167299190465	-2.0794163749294006
regulation of erythrocyte differentiation (GO:0045646)	0.015825616666978567	0.6053373256449761	1.9503851870484423
cellular response to epidermal growth factor stimulus (GO:0071364)	0.015892391420847675	0.6156047617744139	1.9443373903149221
positive regulation of cell cycle (GO:0045787)	0.017370052103241482	0.5194748334212301	1.937854646048274
DNA-dependent DNA replication (GO:0006261)	0.021099513440135848	-0.462033708701653	-2.0492593639542234
cellular response to insulin stimulus (GO:0032869)	0.021756428896989328	0.45811931093446506	1.9198666105773308
Rho protein signal transduction (GO:0007266)	0.02194139853604921	0.5504983477312426	1.9174744335588028
negative regulation of myeloid leukocyte differentiation (GO:0002762)	0.022436317300020242	0.6819353924098096	1.9201749187344925
regulation of primary metabolic process (GO:0080090)	0.025160727257879847	0.4531606563765162	1.9078499757819636
regulation of keratinocyte differentiation (GO:0045616)	0.02516505859326595	0.620931609911552	1.9040402974247408
negative regulation of cellular biosynthetic process (GO:0031327)	0.02555247248057861	0.5749604868310387	1.9043705805208868
carboxylic acid transport (GO:0046942)	0.026569323118445027	0.5726861948194357	1.8988531242474045
muscle cell development (GO:0055001)	0.027038638797460296	0.6487437109314423	1.8952706683939067
regulation of keratinocyte proliferation (GO:0010837)	0.028746531540650943	0.6747042706028994	1.89169579849022
negative regulation of developmental growth (GO:0048640)	0.029139851127465317	0.6703903046858272	1.8869391974671732
positive regulation of neuron death (GO:1901216)	0.03044928776431319	0.5806711356181318	1.8805674842079065
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	0.03169782037154023	0.5525498204844521	1.874619939216943
chromatin assembly (GO:0031497)	0.03303124491391869	0.5262596697754078	1.867496879566668
spliceosomal snRNP assembly (GO:0000387)	0.033290343427769896	-0.5687330618934469	-1.978870236641557
mesenchymal cell differentiation (GO:0048762)	0.03339951779889378	0.5196969953688046	1.8678512161791103
L-amino acid transport (GO:0015807)	0.034142221978291684	0.6286609326876803	1.8632783589160038
DNA strand elongation (GO:0022616)	0.03586917284823094	-0.6387682367811912	-1.9674871637650648
regulation of macromolecule metabolic process (GO:0060255)	0.03587473651617821	0.43049335730584964	1.8528665924456362
lipid biosynthetic process (GO:0008610)	0.03617283809595102	0.4841654747588902	1.8493406024599812
negative regulation of phosphorylation (GO:0042326)	0.03663802878247987	0.46718920639417055	1.8530066192536498
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	0.03692414852023773	-0.5025157132522932	-1.9815002839663853
potassium ion transport (GO:0006813)	0.03913000674352467	-0.5363639129365553	-1.9548399202645523
epithelial to mesenchymal transition (GO:0001837)	0.039263555275035424	0.511437892442455	1.842485430788481
DNA replication (GO:0006260)	0.041596183639124956	-0.4517410223038029	-1.9832618096153514
membrane protein intracellular domain proteolysis (GO:0031293)	0.04190312201621428	0.6384969496246848	1.8367035402227423
signal release from synapse (GO:0099643)	0.042902343994942894	-0.6018112432129683	-1.9337355556811173
canonical glycolysis (GO:0061621)	0.044045234306283584	-0.6648736464899184	-1.907042327023731
glucose catabolic process to pyruvate (GO:0061718)	0.044045234306283584	-0.6648736464899184	-1.907042327023731
base-excision repair (GO:0006284)	0.04430897822428529	-0.5102850605865065	-2.0005624834285807
peptide catabolic process (GO:0043171)	0.044656900779847984	0.6525337303357642	1.830615147473978
glycolytic process through glucose-6-phosphate (GO:0061620)	0.048227459291739085	-0.6471709990958474	-1.9118678146610932
positive regulation of cytosolic calcium ion concentration (GO:0007204)	0.05031422435724702	-0.5090650731207705	-1.9159908982723595
positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	0.050897201282453335	0.6191814107956821	1.814503534670383
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	0.050897201282453335	0.6191814107956821	1.814503534670383
positive regulation of mRNA catabolic process (GO:0061014)	0.055274927166413516	0.5086592359349014	1.8073019110280681
regulation of autophagy (GO:0010506)	0.05618750151427484	0.3950903862762572	1.801170702627924
carboxylic acid transmembrane transport (GO:1905039)	0.05699225242728358	0.5757660256303921	1.8035827243408173
autophagosome assembly (GO:0000045)	0.05707484225443747	0.4889610640817945	1.8012693122436167
negative regulation of cell differentiation (GO:0045596)	0.06067154136547141	0.42302093630323534	1.7925517884902158
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	0.06122452686954677	0.5055177647151952	1.7928498031110138
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	0.0618535459812202	0.5349362584354556	1.7739952592030757
regulation of long-term synaptic potentiation (GO:1900271)	0.06192726768282615	0.6265328103858149	1.7725532376220152
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	0.06225158529554797	0.5728970704817634	1.7886779054745945
O-glycan processing (GO:0016266)	0.0625538516107557	-0.5533219331126025	-1.8754753171365477
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	0.06271262300873715	0.46062719744011016	1.7740114090587518
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	0.06290798196813369	0.5546666386972188	1.781739330432284
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	0.06304605161305689	0.6232435389259938	1.7680761468101411
positive regulation of epithelial cell migration (GO:0010634)	0.06310214240630693	0.4663455839017142	1.783320620779922
integrated stress response signaling (GO:0140467)	0.06327989492012752	0.6661372626760553	1.7742891615633656
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	0.0633146075322541	0.5263362661087978	1.779948548398364
amino acid transmembrane transport (GO:0003333)	0.06346272607720012	0.5506649701933638	1.775266086233719
hemopoiesis (GO:0030097)	0.06383666469886713	0.46094897074063	1.7837369199725708
gene silencing by miRNA (GO:0035195)	0.06429511823289384	0.5454600093407098	1.7774532795279758
negative regulation of protein localization to membrane (GO:1905476)	0.06430118472578265	0.5964846517322406	1.7754933947775486
negative regulation of epithelial cell proliferation (GO:0050680)	0.06441394321618715	0.4833802728590602	1.784557421552061
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	0.06499933100152924	0.5086541641671428	1.77570007052897
error-free translesion synthesis (GO:0070987)	0.06574164187663381	-0.6181887288542465	-1.8610980103921977
positive regulation of epithelial cell proliferation (GO:0050679)	0.06671852249742863	0.43341135866094027	1.7606304635755652
cellular response to amino acid stimulus (GO:0071230)	0.06709041634194365	0.5516822013273514	1.7587959665729853
DNA strand elongation involved in DNA replication (GO:0006271)	0.06892507723777712	-0.6590569959242741	-1.862974646457522
inflammatory response (GO:0006954)	0.0696283943524483	-0.4258185037222174	-1.8529472299303966
vascular transport (GO:0010232)	0.07178201515924199	0.4890953619240367	1.7485671437056978
ERAD pathway (GO:0036503)	0.07191127339750078	0.42223401981045344	1.749489365281208
regulation of ubiquitin-protein transferase activity (GO:0051438)	0.07481109549725501	0.5455353776230248	1.7435547631057282
regulation of epidermal cell differentiation (GO:0045604)	0.07582644272692027	0.6415799722161738	1.7416772879417484
fatty-acyl-CoA biosynthetic process (GO:0046949)	0.07866391736287585	0.5588324347699501	1.7360392064885521
cholesterol transport (GO:0030301)	0.0792029032398305	0.5431728503376149	1.734559697953535
negative regulation of axonogenesis (GO:0050771)	0.08593910822954183	0.6124481805453653	1.7252277890788785
positive regulation of proteasomal protein catabolic process (GO:1901800)	0.08651179994213688	0.44873012706311616	1.7233245706457772
negative regulation of cell cycle (GO:0045786)	0.09007137846316267	0.4550062536659436	1.718174369517155
steroid biosynthetic process (GO:0006694)	0.09132085328013859	0.49137295221256067	1.7129122876219236
positive regulation of endothelial cell migration (GO:0010595)	0.09159371579582129	0.43908100910743575	1.714151561159572
pre-replicative complex assembly (GO:0036388)	0.09160705418592315	-0.4679278679920505	-1.809166692795061
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	0.0923886284222098	0.5955171445235847	1.7143561327119088
hyaluronan metabolic process (GO:0030212)	0.0932048071964262	-0.5856248612606165	-1.810778559260962
histone exchange (GO:0043486)	0.09418055544642458	-0.49929758721940876	-1.8130310093377346
negative regulation of signal transduction in absence of ligand (GO:1901099)	0.09543472232922984	-0.6212627657402431	-1.797618096933269
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	0.09543472232922984	-0.6212627657402431	-1.797618096933269
regulation of macroautophagy (GO:0016241)	0.09614693582101068	0.41980220157642123	1.7032763176743888
ubiquitin-dependent ERAD pathway (GO:0030433)	0.09629903556929743	0.4183184195614656	1.700002477994954
nucleosome organization (GO:0034728)	0.09631935141971057	0.445820225625291	1.7019841311914596
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	0.09643083849655167	0.6392488327879746	1.6951296100449302
regulation of fibroblast proliferation (GO:0048145)	0.09685781308642759	0.5119524976218309	1.6969999299443574
transport across blood-brain barrier (GO:0150104)	0.09689970711462827	0.47428489082721764	1.695982795241538
cellular glucose homeostasis (GO:0001678)	0.09696546705460878	0.5388847266676664	1.7003237903741653
positive regulation of blood vessel endothelial cell migration (GO:0043536)	0.09701858085228535	0.4854081880480452	1.7035187933519529
autophagosome organization (GO:1905037)	0.09722404163342106	0.46867366467857763	1.704467014585341
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	0.09739932536232747	0.4156724925912391	1.69760293430756
neurotransmitter secretion (GO:0007269)	0.09806250055986948	-0.5723095513019365	-1.813768007779113
regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	0.10259006085434257	0.586860084010826	1.6874725522643794
lymphocyte chemotaxis (GO:0048247)	0.10549756720067925	-0.6595490187581735	-1.7805115973657055
Golgi to plasma membrane transport (GO:0006893)	0.10640590085851187	0.48762559947159095	1.6816337154790446
regulation of cardiac muscle hypertrophy (GO:0010611)	0.10695744399151809	0.5583026069632253	1.680164873845699
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	0.10768566489076742	-0.5820561622121461	-1.7823726700861502
organic hydroxy compound transport (GO:0015850)	0.10811128114921259	0.5744625791069368	1.667900526510538
neuron projection extension (GO:1990138)	0.10851411155682868	0.5572568271299726	1.6772989208969875
positive regulation of cellular biosynthetic process (GO:0031328)	0.10870929929890763	0.3827732697502186	1.6756829987739479
positive regulation of autophagy (GO:0010508)	0.10882615511817856	0.4269295739104333	1.6682566726475412
mRNA destabilization (GO:0061157)	0.10907753289305959	0.4980155285683972	1.6779108314876154
negative regulation of cell cycle G1/S phase transition (GO:1902807)	0.10918023703672133	0.5172048693528292	1.6657661324434319
regulation of TORC1 signaling (GO:1903432)	0.10932605520737138	0.5041455431389581	1.6699309500818227
positive regulation of fibroblast proliferation (GO:0048146)	0.10935178071451308	0.5880612960344704	1.6688364330390637
cellular response to growth factor stimulus (GO:0071363)	0.1093770468375987	0.39298740206118515	1.6740275449923587
regulation of focal adhesion assembly (GO:0051893)	0.1095081000928558	0.4669371898222623	1.6728175802180212
cellular response to nutrient levels (GO:0031669)	0.10953285459662662	0.4806177333701632	1.67207567046612
negative regulation of protein kinase activity (GO:0006469)	0.11012320876615442	0.42886036760975244	1.6700614595536918
regulation of gluconeogenesis (GO:0006111)	0.1119864880887967	0.5403787582410986	1.6611153744035658
regulation of biomineral tissue development (GO:0070167)	0.11246204046635148	0.5545049514942977	1.6556627157169375
negative regulation of receptor signaling pathway via JAK-STAT (GO:0046426)	0.11265693220561013	0.5912675483674444	1.6573529540271896
positive regulation of epidermal cell differentiation (GO:0045606)	0.11284147818539593	0.6318829701232874	1.6561869036983923
negative regulation of DNA-binding transcription factor activity (GO:0043433)	0.11314040347873458	0.40974880820551474	1.6578159355704232
positive regulation of interferon-alpha production (GO:0032727)	0.11377727285980094	0.5621773648065096	1.6581772595246786
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	0.11487212048526625	0.4385981985611413	1.6511875411792984
response to interferon-alpha (GO:0035455)	0.11512405434272682	0.5710384047579842	1.6518301398224042
negative regulation of intracellular protein transport (GO:0090317)	0.11530276773740243	0.5752426113433416	1.6499640000206912
gland development (GO:0048732)	0.11602913678088983	0.4690030918395996	1.6518818288679789
regulation of cell junction assembly (GO:1901888)	0.11945095330530778	0.5346667113286194	1.6443522031671656
organic acid transport (GO:0015849)	0.11966035893344132	0.44866012159046487	1.6432789795534357
positive regulation of chemotaxis (GO:0050921)	0.12967131415917213	0.5002936418349234	1.6325570788805193
regulation of fatty acid biosynthetic process (GO:0042304)	0.13014816871300805	0.5196307912582526	1.6309825244488525
regulation of translational initiation (GO:0006446)	0.13274821069178647	0.4337187106526627	1.6277565859958505
negative regulation of macromolecule metabolic process (GO:0010605)	0.13384126204742847	0.3705418966388227	1.6256514370204582
regulation of epithelial cell migration (GO:0010632)	0.1386427393463083	0.45007646249170485	1.6202232698516172
negative regulation of TOR signaling (GO:0032007)	0.14158675993118838	0.48603232312964045	1.61734577851289
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	0.14231258030657146	-0.6181029578526602	-1.7457800437485553
post-Golgi vesicle-mediated transport (GO:0006892)	0.14251216359086932	0.414695875399615	1.6136009733638303
intrinsic apoptotic signaling pathway (GO:0097193)	0.1427803699820318	0.3854356240730511	1.6144381218685093
Golgi to plasma membrane protein transport (GO:0043001)	0.14381173306967865	0.5306924436012493	1.6145072602672066
response to amino acid starvation (GO:1990928)	0.14381514416391653	0.41055369066978326	1.6115380439908826
positive regulation of macromolecule biosynthetic process (GO:0010557)	0.14423931724082356	0.385300517523349	1.6105435311446687
organic hydroxy compound biosynthetic process (GO:1901617)	0.14659189583435212	0.47784728359151096	1.6042762319988595
negative regulation of wound healing (GO:0061045)	0.1468115545066542	0.5666951928650867	1.607708176791638
regulation of reactive oxygen species biosynthetic process (GO:1903426)	0.1476389808045975	0.544872591589451	1.6043353193084156
regulation of autophagosome assembly (GO:2000785)	0.14765195144024115	0.48800670852139044	1.605753180468466
skin development (GO:0043588)	0.14860110155400733	0.45237999878979257	1.601590291180688
circulatory system development (GO:0072359)	0.15007229019209345	0.38872911374319447	1.599411996171702
nucleotide-excision repair, DNA gap filling (GO:0006297)	0.15015820398230015	-0.5185150962563929	-1.7161898475106008
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	0.1501685926873769	0.4087328393249331	1.5975289193420275
negative regulation of protein localization to cell periphery (GO:1904376)	0.150369427931985	0.5638748718180047	1.5966753792564308
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	0.1505902416384553	-0.5369633114091152	-1.7185762570528327
autophagy of nucleus (GO:0044804)	0.15082191073902498	0.5691326783578752	1.59788739300149
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	0.15345103769268814	0.4251586097740057	1.5898565194759169
erythrocyte differentiation (GO:0030218)	0.15372616736730538	0.4688766822478238	1.5905378307102374
negative regulation of kinase activity (GO:0033673)	0.1542308590237969	0.4425243194950535	1.5909835466188165
glutamate receptor signaling pathway (GO:0007215)	0.1542496814376392	0.5541433279972714	1.5918794549636774
regulation of mitochondrial membrane permeability (GO:0046902)	0.15444843838179442	-0.5831555096805836	-1.7325414933569458
protein alpha-1,2-demannosylation (GO:0036508)	0.1548029579696975	0.5301252760986466	1.592382930756413
CENP-A containing nucleosome assembly (GO:0034080)	0.1550193663925275	-0.5044079330933126	-1.7186182458379369
CENP-A containing chromatin organization (GO:0061641)	0.1550193663925275	-0.5044079330933126	-1.7186182458379369
positive regulation of monooxygenase activity (GO:0032770)	0.15830337651301923	-0.5547788427456043	-1.7083835373604164
nucleosome assembly (GO:0006334)	0.15913030890225396	0.47852201116317267	1.583208509509723
negative regulation of intracellular signal transduction (GO:1902532)	0.15931942621216297	0.36084472657858946	1.5812310644022318
signal transduction by p53 class mediator (GO:0072331)	0.15951048459540534	0.48410727264523756	1.5839623648339014
negative regulation of macroautophagy (GO:0016242)	0.1596812582523593	0.5233873743459636	1.579406668648578
negative regulation of lipid storage (GO:0010888)	0.15971115341198622	0.5757895544758634	1.5846986819358584
negative regulation of apoptotic process (GO:0043066)	0.15991304217546687	0.32709543176049427	1.5816040996241911
neuron development (GO:0048666)	0.16026961689154592	0.3851214458712016	1.5797222132143016
organelle disassembly (GO:1903008)	0.16033500334684278	0.46328758900852685	1.578321267453161
secondary alcohol metabolic process (GO:1902652)	0.16234778971311525	0.49977144440358623	1.576279313031198
negative regulation of T cell proliferation (GO:0042130)	0.1624568312475392	0.5440477057257319	1.5737030714852904
endoderm formation (GO:0001706)	0.16269813942716543	0.5061881277692799	1.5750964903748281
negative regulation of apoptotic signaling pathway (GO:2001234)	0.16297111575395803	0.4097395758736433	1.572704712756926
negative regulation of programmed cell death (GO:0043069)	0.16314803567545585	0.32578883338324305	1.5739875814350333
negative regulation of gene expression (GO:0010629)	0.16340473045086584	0.333904658808606	1.5643019341849889
regulation of interleukin-2 production (GO:0032663)	0.16364782624169366	-0.4948839930474692	-1.6695355057960064
nitrogen compound transport (GO:0071705)	0.16393961787634556	0.38447409188555226	1.5700641268112685
regulation of reactive oxygen species metabolic process (GO:2000377)	0.16406557025639804	0.448115901113834	1.565283461060947
NADH dehydrogenase complex assembly (GO:0010257)	0.1641175197582741	-0.4509785529031168	-1.679591999038768
mitochondrial respiratory chain complex I assembly (GO:0032981)	0.1641175197582741	-0.4509785529031168	-1.679591999038768
DNA replication checkpoint signaling (GO:0000076)	0.16418058895605706	-0.5983795069404503	-1.719035255321783
cellular response to amino acid starvation (GO:0034198)	0.16431684404118874	0.40196432363046625	1.5643213663427342
regulation of NMDA receptor activity (GO:2000310)	0.1643460242226483	0.6023986796121408	1.566560512851774
negative regulation of protein-containing complex assembly (GO:0031333)	0.16459859680044092	0.47240540696398065	1.56560696057306
post-transcriptional gene silencing by RNA (GO:0035194)	0.16463497679393643	0.5559465339243995	1.570795554139695
negative regulation of stress fiber assembly (GO:0051497)	0.16479204739788966	0.5583393628842197	1.5701796064288642
regulation of cell differentiation (GO:0045595)	0.1653184859044391	0.37067518103273317	1.5665856923886057
glycosaminoglycan biosynthetic process (GO:0006024)	0.16532089354271148	-0.4017628662945772	-1.6656989955167658
positive regulation of signaling receptor activity (GO:2000273)	0.16532360661929202	0.483484142633263	1.562182020498056
positive regulation of macromolecule metabolic process (GO:0010604)	0.16603542549553674	0.33640120652439737	1.566984418061292
potassium ion transmembrane transport (GO:0071805)	0.16615866834106982	-0.4441724582374501	-1.6726796917028408
regulation of protein-containing complex disassembly (GO:0043244)	0.16681533687160466	-0.569596900683021	-1.6698985135236761
regulation of B cell activation (GO:0050864)	0.16766685414120244	0.600583048653787	1.559036588273798
establishment of melanosome localization (GO:0032401)	0.16783703872835337	-0.5353375386536374	-1.6821567739782504
positive regulation of interleukin-2 production (GO:0032743)	0.16811547805527596	-0.5741471151887002	-1.7202725176876812
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	0.1689304281625826	0.5211880119032339	1.5554729973734471
superoxide metabolic process (GO:0006801)	0.16915524817538702	-0.5623060364256413	-1.6729469319345949
negative regulation of actin filament bundle assembly (GO:0032232)	0.16978494046700715	0.5245054351933346	1.5556897972968564
receptor signaling pathway via JAK-STAT (GO:0007259)	0.17030052142698981	0.5045300627228736	1.5560316464142057
sarcomere organization (GO:0045214)	0.17058145096602137	-0.5807421820288771	-1.6601111096973382
epidermis development (GO:0008544)	0.1707866276569487	-0.4954967084677013	-1.657782413739114
protein O-linked glycosylation (GO:0006493)	0.17115140204463686	-0.41317013295482763	-1.6824166685202333
posttranscriptional regulation of gene expression (GO:0010608)	0.17132079242678502	0.45015479622038773	1.5505635670305289
cellular response to BMP stimulus (GO:0071773)	0.1714332973808177	0.45125649138884755	1.5521272770621084
acyl-CoA biosynthetic process (GO:0071616)	0.17173590960657573	0.5714554947286418	1.550774559734832
response to glucose (GO:0009749)	0.17198160962636486	0.473872939755231	1.5486206058810998
mitochondrion disassembly (GO:0061726)	0.1721364121740442	0.47980462845754535	1.5524324807462135
central nervous system development (GO:0007417)	0.17215325625610126	0.3533784517675472	1.5492192197323829
regulation of cellular component movement (GO:0051270)	0.17267951350551294	0.4258398535197207	1.5507802484945856
regulation of sodium ion transmembrane transporter activity (GO:2000649)	0.17289162154721482	0.5126614482533771	1.547240921793686
neurotransmitter transport (GO:0006836)	0.17392027507083407	-0.4532776088672879	-1.683089668573538
peptidyl-serine phosphorylation (GO:0018105)	0.17444533477449603	0.36817571579189495	1.545059286027754
negative chemotaxis (GO:0050919)	0.1747928113409149	-0.5725690670484419	-1.6949612283986302
negative regulation of phosphate metabolic process (GO:0045936)	0.1749257025665142	0.5276081467029345	1.5452802337550184
cellular response to hormone stimulus (GO:0032870)	0.17599587641233158	0.4279926858745122	1.5424670082544478
neuron apoptotic process (GO:0051402)	0.17607543965793365	-0.5980929393350776	-1.6878028912777618
positive regulation of cell-substrate junction organization (GO:0150117)	0.17624317668568534	0.5157834529239519	1.5430766900682338
chromatin remodeling at centromere (GO:0031055)	0.1763095927948913	-0.4892985760624217	-1.685044550826925
positive regulation of T cell cytokine production (GO:0002726)	0.17777692606227283	-0.5586841725518594	-1.6897061923443708
ERK1 and ERK2 cascade (GO:0070371)	0.17934446862607328	0.5616741778145625	1.538803639107639
DNA modification (GO:0006304)	0.18098693750872086	-0.503548858876408	-1.6490532734726138
Ras protein signal transduction (GO:0007265)	0.1816011713420453	0.36533538794839215	1.5354726306185562
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	0.181762934639523	0.5201984355564236	1.5345530840608885
regulation of centrosome cycle (GO:0046605)	0.18207710865884308	0.5222923553025359	1.5357673683536972
positive regulation of small GTPase mediated signal transduction (GO:0051057)	0.1830677573574356	0.5011433934276797	1.533044966851433
negative regulation of protein phosphorylation (GO:0001933)	0.1845586405313848	0.35430306600228384	1.531021288814974
positive regulation of intracellular signal transduction (GO:1902533)	0.18484465957403046	0.31601380333405477	1.5302508007215652
negative regulation of nucleic acid-templated transcription (GO:1903507)	0.18635538175315322	0.312325134338426	1.526778793291369
regulation of peptide hormone secretion (GO:0090276)	0.18657998313491558	-0.4892911158042451	-1.6408640109866321
selective autophagy (GO:0061912)	0.18717497707541889	0.4091015255280984	1.5268310545888628
regulation of nitric-oxide synthase activity (GO:0050999)	0.187210228341569	-0.4715057742339308	-1.6427476339357456
peptidyl-threonine phosphorylation (GO:0018107)	0.1872992566761494	0.42090619556380504	1.5237729682715733
peptidyl-tyrosine phosphorylation (GO:0018108)	0.18764422444334009	0.4289914521713864	1.5230001623482485
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	0.18766929446026787	0.39505525379111905	1.5241946363213839
positive regulation of RNA splicing (GO:0033120)	0.1876803208887844	0.5105862861983144	1.5176820069099575
positive regulation of nucleic acid-templated transcription (GO:1903508)	0.1877731041324124	0.3142970489891762	1.5168809946983504
cellular modified amino acid biosynthetic process (GO:0042398)	0.18789006422353638	0.5271230598577215	1.5272351929798043
establishment of protein localization to plasma membrane (GO:0061951)	0.1880629049157357	0.4699561109586002	1.5180150554549476
protein insertion into membrane (GO:0051205)	0.18812629914311532	0.4827311454096096	1.5245175806793982
regulation of interferon-beta production (GO:0032648)	0.18880269922128687	0.43272594610217585	1.5216115617383619
positive regulation of angiogenesis (GO:0045766)	0.1888744483609524	0.37789219799197965	1.5181102545612897
regulation of vasculature development (GO:1901342)	0.18954352598265894	0.5139958996676932	1.5203479347168205
positive regulation of gene silencing by miRNA (GO:2000637)	0.18956017128362346	0.4978081334997116	1.5182493921305675
negative regulation of peptidyl-serine phosphorylation (GO:0033137)	0.1902232959547389	0.49968043534076795	1.5191675365564332
cell morphogenesis involved in differentiation (GO:0000904)	0.19035980694861673	0.4073211980663608	1.5183814304430059
endocytic recycling (GO:0032456)	0.1912623829921254	0.40558245796652087	1.5034757606352196
positive regulation of mitotic cell cycle (GO:0045931)	0.191315740267164	0.48626766841594865	1.5044905842072718
response to steroid hormone (GO:0048545)	0.19140983196579772	0.4993955377457878	1.5084305968486058
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	0.19157907142819008	0.30365432381761914	1.5037955508543481
receptor catabolic process (GO:0032801)	0.19160217871256227	0.49746209332224706	1.5070907944215968
cellular response to type I interferon (GO:0071357)	0.19168965711149583	0.4160950540350597	1.5088257735968418
type I interferon signaling pathway (GO:0060337)	0.19168965711149583	0.4160950540350597	1.5088257735968418
regulation of RNA splicing (GO:0043484)	0.1920256113264776	0.397238686839664	1.504558994586594
membrane fusion (GO:0061025)	0.19217952229539564	0.4851260425731485	1.5072930615525941
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	0.192307881368365	0.41793095455100276	1.5013806372315839
neurotrophin signaling pathway (GO:0038179)	0.1923323779074104	0.5448836304078986	1.5054156689443625
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	0.19237427519034825	0.39296080556677043	1.5048415301276554
